run_accession	sample_accession	sample_alias	sample_group	host	host_species	inoculum	compartment	nutrient	experiment_round	growth_chamber	bio_replicate	read_count	fastq_gb	instrument_model	note
SRR29709971	SAMN42329339	R1_At_GC2_AtSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES		R1	GC2	B4	921994	0.085	Illumina NovaSeq 6000	
SRR29709975	SAMN42329003	At_HvSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	RZ	high			B2	192618	0.027	Illumina NovaSeq 6000	
SRR29709994	SAMN42329244	Lj_LjSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	low			B3	2083753	0.275	Illumina NovaSeq 6000	
SRR29709996	SAMN42329242	Lj_LjSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	low			B1	4267997	0.561	Illumina NovaSeq 6000	
SRR29710004	SAMN42329235	Lj_LjSC_NOD_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	low			B2	4761594	0.686	Illumina NovaSeq 6000	
SRR29710008	SAMN42329231	Lj_LjSC_NOD_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	high			B2	406520	0.052	Illumina NovaSeq 6000	
SRR29710017	SAMN42329175	Input_LjSC_B2	Input (inoculum sequenced directly, no plant)			LjSC					B2	375276	0.052	Illumina NovaSeq 6000	
SRR29710021	SAMN42329171	Input_HvSC_B2	Input (inoculum sequenced directly, no plant)			HvSC					B2	1895482	0.256	Illumina NovaSeq 6000	
SRR29710023	SAMN42329169	Input_AtSC_B4	Input (inoculum sequenced directly, no plant)			AtSC					B4	1943242	0.268	Illumina NovaSeq 6000	
SRR29710026	SAMN42329166	Input_AtSC_B1	Input (inoculum sequenced directly, no plant)			AtSC					B1	1955881	0.264	Illumina NovaSeq 6000	
SRR29710029	SAMN42329165	Hv_SSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	low			B4	3974545	0.504	Illumina NovaSeq 6000	
SRR29710040	SAMN42329155	Hv_SSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES	low			B2	2023431	0.258	Illumina NovaSeq 6000	
SRR29710042	SAMN42329153	Hv_SSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES	high			B4	1828731	0.259	Illumina NovaSeq 6000	
SRR29710046	SAMN42329149	Hv_NS_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	RZ	low			B4	277542	0.037	Illumina NovaSeq 6000	
SRR29710050	SAMN42328984	At_AtSC_RZ_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	RZ				B3	138547	0.021	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710053	SAMN42329143	Hv_NS_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	RZ	high			B2	346254	0.049	Illumina NovaSeq 6000	
SRR29710054	SAMN42329142	Hv_NS_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	RZ	high			B1	2348579	0.381	Illumina NovaSeq 6000	
SRR29710058	SAMN42329138	Hv_NS_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	low			B1	3846553	0.519	Illumina NovaSeq 6000	
SRR29710061	SAMN42328983	At_AtSC_RZ_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	RZ				B2	203605	0.029	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710062	SAMN42329135	Hv_NS_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	high			B2	9725	0.001	Illumina NovaSeq 6000	
SRR29710063	SAMN42329134	Hv_NS_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	high			B1	2667066	0.334	Illumina NovaSeq 6000	
SRR29710064	SAMN42329133	Hv_LjSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	low			B4	139537	0.018	Illumina NovaSeq 6000	
SRR29710065	SAMN42329132	Hv_LjSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	low			B3	119050	0.016	Illumina NovaSeq 6000	
SRR29710069	SAMN42329020	At_LjSC_ES_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	LjSC	ES				B3	2015634	0.234	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710075	SAMN42329015	At_LjSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES	high			B2	4807473	0.54	Illumina NovaSeq 6000	
SRR29710078	SAMN42329012	At_HvSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	RZ	low			B3	45450	0.008	Illumina NovaSeq 6000	
SRR29710085	SAMN42329403	R1_Lj_GC2_SSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC2	B4	3760685	0.466	Illumina NovaSeq 6000	
SRR29710095	SAMN42329324	NP_SSC_high_B3	No-plant control (inoculum in sterile substrate, no host)			SSC		high			B3	97191	0.013	Illumina NovaSeq 6000	
SRR29710107	SAMN42329313	NP_NS_AM_low_B4	No-plant control, natural-soil inoculum			NS (natural soil)	AM	low			B4	164605	0.023	Illumina NovaSeq 6000	
SRR29710109	SAMN42329311	NP_NS_AM_low_B2	No-plant control, natural-soil inoculum			NS (natural soil)	AM	low			B2	532992	0.075	Illumina NovaSeq 6000	
SRR29710119	SAMN42329065	At_SSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	high			B4	1596330	0.158	Illumina NovaSeq 6000	
SRR29710123	SAMN42329061	At_NS_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	RZ	low			B4	185621	0.027	Illumina NovaSeq 6000	
SRR29710130	SAMN42329055	At_NS_RZ_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	NS	RZ				B2	121748	0.017	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710131	SAMN42329054	At_NS_RZ_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	NS	RZ				B1	139193	0.02	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710134	SAMN42329051	At_NS_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	RZ	high			B2	127242	0.019	Illumina NovaSeq 6000	
SRR29710138	SAMN42329047	At_NS_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	low			B2	2661908	0.296	Illumina NovaSeq 6000	
SRR29710140	SAMN42329046	At_NS_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	low			B1	3366972	0.389	Illumina NovaSeq 6000	
SRR29710148	SAMN42329366	R1_Hv_GC3_HvSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES		R1	GC3	B2	4822959	0.577	Illumina NovaSeq 6000	
SRR29710160	SAMN42329356	R1_Hv_GC1_SSC_RZ_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ		R1	GC1	B1	20189	0.004	Illumina NovaSeq 6000	
SRR29710162	SAMN42329355	R1_Hv_GC1_SSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC1	B4	4366340	0.511	Illumina NovaSeq 6000	
SRR29710176	SAMN42329269	Lj_SSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES	low			B4	8955652	1.014	Illumina NovaSeq 6000	
SRR29710192	SAMN42328995	At_HvSC_ES_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	ES				B2	2967483	0.322	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710197	SAMN42329203	Lj_HvSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	low			B2	1782143	0.205	Illumina NovaSeq 6000	
SRR29710202	SAMN42329198	Lj_HvSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	high			B1	2568006	0.349	Illumina NovaSeq 6000	
SRR29710204	SAMN42329196	Lj_AtSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	RZ	low			B3	1727791	0.216	Illumina NovaSeq 6000	
SRR29710206	SAMN42329195	Lj_AtSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	RZ	low			B2	1641174	0.234	Illumina NovaSeq 6000	
SRR29710207	SAMN42329194	Lj_AtSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	RZ	low			B1	3120887	0.414	Illumina NovaSeq 6000	
SRR29710218	SAMN42329184	Lj_AtSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES	high			B3	1879679	0.279	Illumina NovaSeq 6000	
SRR29710221	SAMN42329181	Input_SSC_B4	Input (inoculum sequenced directly, no plant)			SSC					B4	2331433	0.307	Illumina NovaSeq 6000	
SRR29710227	SAMN42329103	Hv_HvSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	high			B2	5209193	0.681	Illumina NovaSeq 6000	
SRR29710229	SAMN42329101	Hv_AtSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	low			B4	175994	0.025	Illumina NovaSeq 6000	
SRR29710238	SAMN42329093	Hv_AtSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	ES	low			B4	2196156	0.275	Illumina NovaSeq 6000	
SRR29710241	SAMN42329090	Hv_AtSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	ES	low			B1	2897919	0.361	Illumina NovaSeq 6000	
SRR29710248	SAMN42329396	R1_Lj_GC1_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC1	B3	235158	0.046	Illumina NovaSeq 6000	
SRR29710249	SAMN42329009	At_HvSC_RZ_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	RZ				B4	289808	0.044	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710252	SAMN42329393	R1_Lj_GC1_LjSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES		R1	GC1	B4	3195334	0.342	Illumina NovaSeq 6000	
SRR29710266	SAMN42329380	R1_Input_LjSC	Input (inoculum sequenced directly, no plant)			LjSC			R1			2086496	0.414	Illumina NovaSeq 6000	
SRR29710274	SAMN42329301	NP_HvSC_low_B4	No-plant control (inoculum in sterile substrate, no host)			HvSC		low			B4	65079	0.009	Illumina NovaSeq 6000	
SRR29710283	SAMN42329293	NP_AtSC_low_B4	No-plant control (inoculum in sterile substrate, no host)			AtSC		low			B4	222773	0.03	Illumina NovaSeq 6000	
SRR29710285	SAMN42329291	NP_AtSC_low_B2	No-plant control (inoculum in sterile substrate, no host)			AtSC		low			B2	39777	0.005	Illumina NovaSeq 6000	
SRR29710291	SAMN42328998	At_HvSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	low			B1	99375	0.011	Illumina NovaSeq 6000	
SRR29710298	SAMN42329279	Lj_SSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	high			B2	2575348	0.327	Illumina NovaSeq 6000	
SRR29710304	SAMN42329225	Lj_LjSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	high			B4	2723192	0.363	Illumina NovaSeq 6000	
SRR29710321	SAMN42329209	Lj_HvSC_NOD_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	high			B4	1835168	0.256	Illumina NovaSeq 6000	
SRR29710333	SAMN42329125	Hv_LjSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	low			B4	1751983	0.216	Illumina NovaSeq 6000	
SRR29710335	SAMN42329123	Hv_LjSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	low			B2	3602715	0.467	Illumina NovaSeq 6000	
SRR29710336	SAMN42329122	Hv_LjSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	low			B1	2046711	0.27	Illumina NovaSeq 6000	
SRR29710338	SAMN42329120	Hv_LjSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	high			B3	3737330	0.504	Illumina NovaSeq 6000	
SRR29710347	SAMN42329112	Hv_HvSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high			B3	2480247	0.33	Illumina NovaSeq 6000	
SRR29710349	SAMN42329110	Hv_HvSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high			B1	3869345	0.518	Illumina NovaSeq 6000	
SRR29710353	SAMN42329084	At_SSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	low			B3	25714	0.004	Illumina NovaSeq 6000	
SRR29710355	SAMN42329082	At_SSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	low			B1	1021	0.0	Illumina NovaSeq 6000	
SRR29710357	SAMN42329080	At_SSC_RZ_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	RZ				B3	159441	0.023	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710363	SAMN42329075	At_SSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	high			B2	60224	0.008	Illumina NovaSeq 6000	
SRR29710365	SAMN42329073	At_SSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	low			B4	2599477	0.28	Illumina NovaSeq 6000	
SRR29710368	SAMN42329070	At_SSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	low			B1	1120968	0.113	Illumina NovaSeq 6000	
SRR29710370	SAMN42329068	At_SSC_ES_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	ES				B3	175892	0.021	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710372	SAMN42329066	At_SSC_ES_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	ES				B1	2756297	0.306	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709942	SAMN42329038	At_NS_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	high			B1	2992187	0.339	Illumina NovaSeq 6000	
SRR29709948	SAMN42329033	At_LjSC_RZ_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	LjSC	RZ				B4	219708	0.031	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709949	SAMN42329032	At_LjSC_RZ_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	LjSC	RZ				B3	95544	0.014	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709950	SAMN42329031	At_LjSC_RZ_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	LjSC	RZ				B2	159736	0.022	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709958	SAMN42329024	At_LjSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES	low			B3	1267988	0.177	Illumina NovaSeq 6000	
SRR29709960	SAMN42329349	R1_At_GC2_SSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES		R1	GC2	B2	93356	0.011	Illumina NovaSeq 6000	
SRR29709976	SAMN42329335	R1_At_GC1_SSC_RZ_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ		R1	GC1	B4	316916	0.069	Illumina NovaSeq 6000	
SRR29709982	SAMN42329329	NP_SSC_low_B4	No-plant control (inoculum in sterile substrate, no host)			SSC		low			B4	32168	0.004	Illumina NovaSeq 6000	
SRR29709995	SAMN42329243	Lj_LjSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	low			B2	1914833	0.253	Illumina NovaSeq 6000	
SRR29710000	SAMN42329238	Lj_LjSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	high			B1	4166630	0.538	Illumina NovaSeq 6000	
SRR29710002	SAMN42329236	Lj_LjSC_NOD_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	low			B3	4251663	0.568	Illumina NovaSeq 6000	
SRR29710009	SAMN42329230	Lj_LjSC_NOD_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	high			B1	1757710	0.21	Illumina NovaSeq 6000	
SRR29710012	SAMN42329179	Input_SSC_B2	Input (inoculum sequenced directly, no plant)			SSC					B2	1368143	0.185	Illumina NovaSeq 6000	
SRR29710014	SAMN42329177	Input_LjSC_B4	Input (inoculum sequenced directly, no plant)			LjSC					B4	3521517	0.464	Illumina NovaSeq 6000	
SRR29710024	SAMN42329168	Input_AtSC_B3	Input (inoculum sequenced directly, no plant)			AtSC					B3	342298	0.062	Illumina NovaSeq 6000	
SRR29710025	SAMN42329167	Input_AtSC_B2	Input (inoculum sequenced directly, no plant)			AtSC					B2	3056954	0.406	Illumina NovaSeq 6000	
SRR29710030	SAMN42329164	Hv_SSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	low			B3	1712761	0.221	Illumina NovaSeq 6000	
SRR29710031	SAMN42329163	Hv_SSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	low			B2	6551996	0.844	Illumina NovaSeq 6000	
SRR29710032	SAMN42329162	Hv_SSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	low			B1	271728	0.034	Illumina NovaSeq 6000	
SRR29710033	SAMN42329161	Hv_SSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	high			B4	2417783	0.318	Illumina NovaSeq 6000	
SRR29710036	SAMN42329158	Hv_SSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	RZ	high			B1	1318282	0.179	Illumina NovaSeq 6000	
SRR29710043	SAMN42329152	Hv_SSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES	high			B3	2128201	0.273	Illumina NovaSeq 6000	
SRR29710051	SAMN42329145	Hv_NS_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	RZ	high			B4	3552340	0.466	Illumina NovaSeq 6000	
SRR29710052	SAMN42329144	Hv_NS_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	RZ	high			B3	5198123	0.683	Illumina NovaSeq 6000	
SRR29710055	SAMN42329141	Hv_NS_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	low			B4	4494275	0.567	Illumina NovaSeq 6000	
SRR29710059	SAMN42329137	Hv_NS_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	high			B4	3657780	0.521	Illumina NovaSeq 6000	
SRR29710060	SAMN42329136	Hv_NS_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	NS	ES	high			B3	3873946	0.514	Illumina NovaSeq 6000	
SRR29710067	SAMN42329022	At_LjSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES	low			B1	2724412	0.29	Illumina NovaSeq 6000	
SRR29710080	SAMN42329407	R1_Lj_GC3_SSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC3	B4	1105245	0.201	Illumina NovaSeq 6000	
SRR29710082	SAMN42329010	At_HvSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	RZ	low			B1	80960	0.012	Illumina NovaSeq 6000	
SRR29710083	SAMN42329405	R1_Lj_GC3_SSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC3	B2	159919	0.027	Illumina NovaSeq 6000	
SRR29710086	SAMN42329402	R1_Lj_GC2_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC2	B3	234711	0.027	Illumina NovaSeq 6000	
SRR29710094	SAMN42329325	NP_SSC_high_B4	No-plant control (inoculum in sterile substrate, no host)			SSC		high			B4	104193	0.014	Illumina NovaSeq 6000	
SRR29710100	SAMN42329319	NP_NS_low_GC2_B2	No-plant control, natural-soil inoculum			NS (natural soil)		low		GC2	B2	66198	0.01	Illumina NovaSeq 6000	
SRR29710101	SAMN42329318	NP_NS_low_GC2_B1	No-plant control, natural-soil inoculum			NS (natural soil)		low		GC2	B1	276826	0.038	Illumina NovaSeq 6000	
SRR29710104	SAMN42329001	At_HvSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	low			B4	1058433	0.109	Illumina NovaSeq 6000	
SRR29710110	SAMN42329310	NP_NS_AM_low_B1	No-plant control, natural-soil inoculum			NS (natural soil)	AM	low			B1	1510138	0.206	Illumina NovaSeq 6000	
SRR29710112	SAMN42329308	NP_LjSC_low_B3	No-plant control (inoculum in sterile substrate, no host)			LjSC		low			B3	2255517	0.311	Illumina NovaSeq 6000	
SRR29710113	SAMN42329307	NP_LjSC_low_B2	No-plant control (inoculum in sterile substrate, no host)			LjSC		low			B2	229441	0.032	Illumina NovaSeq 6000	
SRR29710114	SAMN42329306	NP_LjSC_low_B1	No-plant control (inoculum in sterile substrate, no host)			LjSC		low			B1	324477	0.044	Illumina NovaSeq 6000	
SRR29710115	SAMN42329000	At_HvSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	low			B3	2221852	0.224	Illumina NovaSeq 6000	
SRR29710118	SAMN42329303	NP_LjSC_high_B2	No-plant control (inoculum in sterile substrate, no host)			LjSC		high			B2	30878	0.004	Illumina NovaSeq 6000	
SRR29710121	SAMN42329063	At_SSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	high			B2	1215192	0.129	Illumina NovaSeq 6000	
SRR29710126	SAMN42329058	At_NS_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	RZ	low			B1	41966	0.006	Illumina NovaSeq 6000	
SRR29710128	SAMN42329056	At_NS_RZ_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	NS	RZ				B3	47068	0.007	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710135	SAMN42329050	At_NS_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	RZ	high			B1	93482	0.013	Illumina NovaSeq 6000	
