accession	assembly_name	sample_accession	scientific_name	base_count
GCA_056394445	ASM5639444v1	SAMN42773579	Cupriavidus sp. 10N433	6702595
GCA_056394465	ASM5639446v1	SAMN42773578	Variovorax sp. 10N432	7564950
GCA_056394485	ASM5639448v1	SAMN42773577	Pseudomonas sp. 10N431	6513703
GCA_056394505	ASM5639450v1	SAMN42773576	Pedobacter sp. 10N430	6515248
GCA_056394525	ASM5639452v1	SAMN42773575	Arthrobacter sp. 10N43	5018548
GCA_056394545	ASM5639454v1	SAMN42773573	Allobosea sp. 10N428	5733370
GCA_056394565	ASM5639456v1	SAMN42773574	Caulobacter sp. 10N429	5291564
GCA_056394585	ASM5639458v1	SAMN42773571	Achromobacter sp. 10N425_2	5751480
GCA_056394605	ASM5639460v1	SAMN42773572	Rhizobium sp. 10N427	6250640
GCA_056394625	ASM5639462v1	SAMN42773569	Arthrobacter sp. 10N423	4930816
GCA_056394645	ASM5639464v1	SAMN42773570	Achromobacter sp. 10N424	6673156
GCA_056394665	ASM5639466v1	SAMN42773568	Stenotrophomonas sp. 10N422	4250562
GCA_056394685	ASM5639468v1	SAMN42773567	Stenotrophomonas sp. 10N421	4710762
GCA_056394705	ASM5639470v1	SAMN42773566	Variovorax sp. 10N420	6346791
GCA_056394725	ASM5639472v1	SAMN42773565	Arthrobacter sp. 10N418	4101728
GCA_056394745	ASM5639474v1	SAMN42773564	Paenarthrobacter sp. 10N417	5720432
GCA_056394765	ASM5639476v1	SAMN42773563	Mycoplana sp. 10N416	5426679
GCA_056394785	ASM5639478v1	SAMN42773562	Rhizobium sp. 10N414	6466816
GCA_056394945	ASM5639494v1	SAMN42773560	Arthrobacter sp. 10N410	3589588
GCA_056394965	ASM5639496v1	SAMN42773559	Cupriavidus sp. 10N41_2	5970031
GCA_056394985	ASM5639498v1	SAMN42773561	Variovorax sp. 10N412	7005360
GCA_056395005	ASM5639500v1	SAMN42773557	Stenotrophomonas sp. 10N36	4608650
GCA_056395025	ASM5639502v1	SAMN42773558	Cupriavidus sp. 10N41	8975271
GCA_056395045	ASM5639504v1	SAMN42773556	Cupriavidus sp. 10N35	8789897
GCA_056395065	ASM5639506v1	SAMN42773555	Pseudomonas sp. 10N34	6292005
GCA_056395085	ASM5639508v1	SAMN42773554	Cupriavidus sp. 10N33	9036055
GCA_056395105	ASM5639510v1	SAMN42773552	Stenotrophomonas sp. 10L48	4705373
GCA_056395125	ASM5639512v1	SAMN42773553	Microbacterium sp. 10L49	3988127
GCA_056395145	ASM5639514v1	SAMN42773551	Cupriavidus sp. 10L47	6034913
GCA_056395165	ASM5639516v1	SAMN42773550	Pedobacter sp. 10L46_2	5996256
GCA_056395185	ASM5639518v1	SAMN42773549	Stenotrophomonas sp. 10L46	4705523
GCA_056395205	ASM5639520v1	SAMN42773548	Stenotrophomonas sp. 10L45_2	4689424
GCA_056395225	ASM5639522v1	SAMN42773547	Cupriavidus sp. 10L45	5977599
GCA_056395245	ASM5639524v1	SAMN42773546	Arthrobacter sp. 10L430	4669080
GCA_056395265	ASM5639526v1	SAMN42773545	Cupriavidus sp. 10L43_2	5996664
GCA_056395285	ASM5639528v1	SAMN42773543	Cupriavidus sp. 10L425	5926185
GCA_056395305	ASM5639530v1	SAMN42773544	Variovorax sp. 10L426	6205077
GCA_056395325	ASM5639532v1	SAMN42773542	Arthrobacter sp. 10L424	4112023
GCA_056395345	ASM5639534v1	SAMN42773541	Allobosea sp. 10L422	5781550
GCA_056395365	ASM5639536v1	SAMN42773540	Variovorax sp. 10L421	6280994
GCA_056395385	ASM5639538v1	SAMN42773539	Paenarthrobacter sp. 10L420	5495812
GCA_056395405	ASM5639540v1	SAMN42773538	Cupriavidus sp. 10L42	5989990
GCA_056395425	ASM5639542v1	SAMN42773537	Caulobacter sp. 10L419	5290171
GCA_056395445	ASM5639544v1	SAMN42773536	Leifsonia sp. 10L418	4183124
GCA_056395465	ASM5639546v1	SAMN42773535	Variovorax sp. 10L417_2	6672902
GCA_056395485	ASM5639548v1	SAMN42773534	Allobosea sp. 10L417	5873907
GCA_056395505	ASM5639550v1	SAMN42773533	Cupriavidus sp. 10L415	6679861
GCA_056395525	ASM5639552v1	SAMN42773532	Caulobacter sp. 10L414	5294287
GCA_056395545	ASM5639554v1	SAMN42773531	Cupriavidus sp. 10L413	5965007
GCA_056395565	ASM5639556v1	SAMN42773530	Paenarthrobacter sp. 10L412	5252310
GCA_056395585	ASM5639558v1	SAMN42773529	Cupriavidus sp. 10L411	7543395
GCA_056395605	ASM5639560v1	SAMN42773528	Stenotrophomonas sp. 10L410	4708581
GCA_056395625	ASM5639562v1	SAMN42773527	Pseudomonas sp. 10L39	6395918
GCA_056395645	ASM5639564v1	SAMN42773526	Bacillus sp. 10L38	5799769
GCA_056395665	ASM5639566v1	SAMN42773525	Pseudomonas sp. 10L37	5600175
GCA_056395685	ASM5639568v1	SAMN42773523	Priestia sp. 10L35	5524878
GCA_056395705	ASM5639570v1	SAMN42773524	Pseudomonas sp. 10L36	6264337
GCA_056395725	ASM5639572v1	SAMN42773522	Pseudomonas sp. 10L32	6279305
GCA_056395745	ASM5639574v1	SAMN42773521	Paenibacillus sp. 10L310	7143219
GCA_056395765	ASM5639576v1	SAMN42773520	Pseudomonas sp. 10L31	6282246
GCA_056395785	ASM5639578v1	SAMN42773519	Caulobacter sp. 05T49	5294962
GCA_056395805	ASM5639580v1	SAMN42773518	Microbacterium sp. 05T48	4203004
GCA_056395825	ASM5639582v1	SAMN42773517	Arthrobacter sp. 05T47	5083011
GCA_056395845	ASM5639584v1	SAMN42773516	Stenotrophomonas sp. 05T46	4706760
GCA_056395865	ASM5639586v1	SAMN42773514	Microbacterium sp. 05T445	3958185
GCA_056395875	ASM5639587v1	SAMN42773515	Arthrobacter sp. 05T45	4788372
GCA_056395905	ASM5639590v1	SAMN42773513	Arthrobacter sp. 05T444	4764419
GCA_056395925	ASM5639592v1	SAMN42773512	Stenotrophomonas sp. 05T443	4709827
GCA_056395945	ASM5639594v1	SAMN42773511	Arthrobacter sp. 05T442	4146975
GCA_056395965	ASM5639596v1	SAMN42773510	Dyella sp. 05T440	4670827
GCA_056395985	ASM5639598v1	SAMN42773509	Pedobacter sp. 05T44	6123595
GCA_056396005	ASM5639600v1	SAMN42773508	Allobosea sp. 05T439	7484990
GCA_056396025	ASM5639602v1	SAMN42773507	Allobosea sp. 05T438	6212677
GCA_056396045	ASM5639604v1	SAMN42773506	Cupriavidus sp. 05T437	5986693
GCA_056396065	ASM5639606v1	SAMN42773505	Allobosea sp. 05T433	7400941
GCA_056396085	ASM5639608v1	SAMN42773504	Caulobacter sp. 05T432	5289813
GCA_056396105	ASM5639610v1	SAMN42773502	Cupriavidus sp. 05T430	6135780
GCA_056396125	ASM5639612v1	SAMN42773501	Cupriavidus sp. 05T429	5900173
GCA_056396145	ASM5639614v1	SAMN42773500	Caulobacter sp. 05T428	5293358
GCA_056396165	ASM5639616v1	SAMN42773499	Cupriavidus sp. 05T427	5926910
GCA_056396175	ASM5639617v1	SAMN42773498	Pseudomonas sp. 05T426	6397869
GCA_056396205	ASM5639620v1	SAMN42773497	Paenibacillus sp. 05T425	7162161
GCA_056396225	ASM5639622v1	SAMN42773496	Terrabacter sp. 05T424	4805522
GCA_056396245	ASM5639624v1	SAMN42773495	Arthrobacter sp. 05T423	5191572
GCA_056396265	ASM5639626v1	SAMN42773494	Allobosea sp. 05T422_2	7471645
GCA_056396285	ASM5639628v1	SAMN42773493	Cupriavidus sp. 05T422	6648461
GCA_056396305	ASM5639630v1	SAMN42773491	Arthrobacter sp. 05T420	4651063
GCA_056396325	ASM5639632v1	SAMN42773492	Lysobacter sp. 05T421	3468552
GCA_056396345	ASM5639634v1	SAMN42773490	Cupriavidus sp. 05T42	5939997
GCA_056396365	ASM5639636v1	SAMN42773489	Cupriavidus sp. 05T419	6650284
GCA_056396385	ASM5639638v1	SAMN42773488	Variovorax sp. 05T418	6605217
GCA_056396405	ASM5639640v1	SAMN42773487	Lysobacter sp. 05T417	3813527
GCA_056396425	ASM5639642v1	SAMN42773486	Lysobacter sp. 05T416	3809916
GCA_056396445	ASM5639644v1	SAMN42773485	Variovorax sp. 05T414	6706389
GCA_056396465	ASM5639646v1	SAMN42773484	Chitinophaga sp. 05T412	8726731
GCA_056396485	ASM5639648v1	SAMN42773483	Psychrobacillus sp. 05T411	4230864
GCA_056396505	ASM5639650v1	SAMN42773482	Arthrobacter sp. 05T410	4856292
GCA_056396525	ASM5639652v1	SAMN42773481	Cupriavidus sp. 05T41	8796191
GCA_056396545	ASM5639654v1	SAMN42773480	Stenotrophomonas sp. 05T38	4705707
GCA_056396565	ASM5639656v1	SAMN42773479	Pseudomonas sp. 05T37	7047256
GCA_056396585	ASM5639658v1	SAMN42773478	Pseudomonas sp. 05T36	6512596
GCA_056396605	ASM5639660v1	SAMN42773477	Pseudomonas sp. 05T35	6064438
GCA_056396625	ASM5639662v1	SAMN42773476	Pseudomonas sp. 05T34	6491128
GCA_056396645	ASM5639664v1	SAMN42773475	Pseudomonas sp. 05T33	6276780
GCA_056396665	ASM5639666v1	SAMN42773474	Cupriavidus sp. 05T313	8920325
GCA_056396685	ASM5639668v1	SAMN42773473	Pseudarthrobacter sp. 05T312	4714254
GCA_056396705	ASM5639670v1	SAMN42773472	Pseudomonas sp. 05T310	6504761
GCA_056396725	ASM5639672v1	SAMN42773471	Bacillus sp. 05T31	5718345
GCA_056396745	ASM5639674v1	SAMN42773470	Stenotrophomonas sp. 05T23	4691739
GCA_056396765	ASM5639676v1	SAMN42773469	Bacillus sp. 05T22	5380588
GCA_056396785	ASM5639678v1	SAMN42773468	Bacillus sp. 05T21	6283810
GCA_056396805	ASM5639680v1	SAMN42773467	Rhizobium sp. 05N49	7364426
GCA_056396825	ASM5639682v1	SAMN42773466	Cupriavidus sp. 05N47	6723727
GCA_056396845	ASM5639684v1	SAMN42773465	Cupriavidus sp. 05N45	5996641
GCA_056396865	ASM5639686v1	SAMN42773462	Pseudomonas sp. 05N435	6586062
GCA_056396885	ASM5639688v1	SAMN42773463	Caulobacter sp. 05N436	5290335
GCA_056396905	ASM5639690v1	SAMN42773464	Bacillus sp. 05N44	5936015
GCA_056396925	ASM5639692v1	SAMN42773460	Pseudomonas sp. 05N433	6481000
GCA_056396945	ASM5639694v1	SAMN42773459	Pseudomonas sp. 05N432	6294581
GCA_056396965	ASM5639696v1	SAMN42773461	Pseudomonas sp. 05N434	6254773
GCA_056396985	ASM5639698v1	SAMN42773457	Rhizobium sp. 05N430	6107965
GCA_056397005	ASM5639700v1	SAMN42773458	Pseudomonas sp. 05N431	6310903
GCA_056397025	ASM5639702v1	SAMN42773456	Bacillus sp. 05N43	5992189
GCA_056397045	ASM5639704v1	SAMN42773455	Arthrobacter sp. 05N429	4121719
GCA_056397065	ASM5639706v1	SAMN42773454	Arthrobacter sp. 05N428_2	3902771
GCA_056397085	ASM5639708v1	SAMN42773453	Peribacillus sp. 05N428	6060998
GCA_056397105	ASM5639710v1	SAMN42773452	Microbacterium sp. 05N427	4174821
GCA_056397125	ASM5639712v1	SAMN42773451	Arthrobacter sp. 05N425	3655537
GCA_056397145	ASM5639714v1	SAMN42773450	Stenotrophomonas sp. 05N423	3757307
GCA_056397165	ASM5639716v1	SAMN42773449	Variovorax sp. 05N422	6704059
GCA_056397185	ASM5639718v1	SAMN42773447	Stenotrophomonas sp. 05N42	4704194
GCA_056397205	ASM5639720v1	SAMN42773448	Massilia sp. 05N420	5969512
GCA_056397225	ASM5639722v1	SAMN42773446	Cupriavidus sp. 05N419	6723745
GCA_056397245	ASM5639724v1	SAMN42773445	Cupriavidus sp. 05N414	5755912
GCA_056397265	ASM5639726v1	SAMN42773444	Pedobacter sp. 05N413	6183324
GCA_056397285	ASM5639728v1	SAMN42773443	Cupriavidus sp. 05N411	5920537
GCA_056397305	ASM5639730v1	SAMN42773442	Cupriavidus sp. 05N40	8787092
GCA_056397325	ASM5639732v1	SAMN42773441	Cupriavidus sp. 05N39	8971574
GCA_056397345	ASM5639734v1	SAMN42773440	Cupriavidus sp. 05N38	8823266
GCA_056397365	ASM5639736v1	SAMN42773439	Stenotrophomonas sp. 05N37	4522255
GCA_056397385	ASM5639738v1	SAMN42773438	Pseudomonas sp. 05N36	6059089
GCA_056397405	ASM5639740v1	SAMN42773437	Variovorax sp. 05N34	6310653
GCA_056397425	ASM5639742v1	SAMN42773436	Arthrobacter sp. 05N33_2	4448282
GCA_056397445	ASM5639744v1	SAMN42773435	Neorhizobium sp. 05N33	6318303
GCA_056397465	ASM5639746v1	SAMN42773434	Arthrobacter sp. 05N32	4464107
GCA_056397485	ASM5639748v1	SAMN42773433	Arthrobacter sp. 05N31	4461038
GCA_056397505	ASM5639750v1	SAMN42773432	Stenotrophomonas sp. 05L47	4703372
GCA_056397525	ASM5639752v1	SAMN42773431	Arthrobacter sp. 05L45_2	3344273
GCA_056397545	ASM5639754v1	SAMN42773430	Cupriavidus sp. 05L45	5990090
GCA_056397565	ASM5639756v1	SAMN42773429	Lysinibacillus sp. 05L44_3	4288898
GCA_056397585	ASM5639758v1	SAMN42773426	Pedobacter sp. 05L430	6077924
GCA_056397605	ASM5639760v1	SAMN42773427	Arthrobacter sp. 05L44	3409294
GCA_056397625	ASM5639762v1	SAMN42773425	Cupriavidus sp. 05L43	6710581
GCA_056397645	ASM5639764v1	SAMN42773424	Rhizobium sp. 05L429	7254494
GCA_056397665	ASM5639766v1	SAMN42773423	Arthrobacter sp. 05L428	3624513
GCA_056397685	ASM5639768v1	SAMN42773422	Microvirga sp. 05L427	4076063
GCA_056397705	ASM5639770v1	SAMN42773421	Variovorax sp. 05L425	6240136
GCA_056397725	ASM5639772v1	SAMN42773420	Bacillus sp. 05L423_2	3289173
GCA_056397745	ASM5639774v1	SAMN42773419	Allobosea sp. 05L423	6364917
GCA_056397765	ASM5639776v1	SAMN42773418	Caulobacter sp. 05L422	5445883
GCA_056397785	ASM5639778v1	SAMN42773417	Arthrobacter sp. 05L421	4787196
GCA_056397805	ASM5639780v1	SAMN42773416	Pedobacter sp. 05L420	6121766
GCA_056397825	ASM5639782v1	SAMN42773415	Cupriavidus sp. 05L42	8525895
GCA_056397845	ASM5639784v1	SAMN42773414	Rhizobium sp. 05L419	6320201
GCA_056397865	ASM5639786v1	SAMN42773413	Arthrobacter sp. 05L417	5647678
GCA_056397885	ASM5639788v1	SAMN42773412	Lysobacter sp. 05L416	3714828
GCA_056397905	ASM5639790v1	SAMN42773410	Stenotrophomonas sp. 05L414_2	4689132
GCA_056397925	ASM5639792v1	SAMN42773409	Cupriavidus sp. 05L414	6739046
GCA_056397945	ASM5639794v1	SAMN42773408	Stenotrophomonas sp. 05L413	4253184
GCA_056397965	ASM5639796v1	SAMN42773406	Stenotrophomonas sp. 05L412_3	4700670
GCA_056397985	ASM5639798v1	SAMN42773407	Bacillus sp. 05L412_4	5743441
GCA_056398005	ASM5639800v1	SAMN42773405	Caulobacter sp. 05L412_2	5280107
GCA_056398025	ASM5639802v1	SAMN42773404	Bacillus sp. 05L412	3793303
GCA_056398045	ASM5639804v1	SAMN42773403	Cupriavidus sp. 05L411	8694256
GCA_056398065	ASM5639806v1	SAMN42773402	Pseudomonas sp. 05L39	6291259
GCA_056398085	ASM5639808v1	SAMN42773401	Stenotrophomonas sp. 05L38_2	4633195
GCA_056398105	ASM5639810v1	SAMN42773400	Stenotrophomonas sp. 05L36_2	4693059
GCA_056398125	ASM5639812v1	SAMN42773399	Pseudomonas sp. 05L36	6507569
GCA_056398145	ASM5639814v1	SAMN42773398	Stenotrophomonas sp. 05L34_2	4630273
GCA_056398165	ASM5639816v1	SAMN42773397	Pseudomonas sp. 05L32	6433522
GCA_056398185	ASM5639818v1	SAMN42773396	Cupriavidus sp. 05L310	9179595
GCA_056398205	ASM5639820v1	SAMN42773395	Pedobacter sp. 01T49	6524206
GCA_056398225	ASM5639822v1	SAMN42773394	Arthrobacter sp. 01T47_2	4817654
GCA_056398245	ASM5639824v1	SAMN42773393	Paenibacillus sp. 01T47	7874867
GCA_056398265	ASM5639826v1	SAMN42773392	Caulobacter sp. 01T46	5276421
GCA_056398285	ASM5639828v1	SAMN42773391	Dyella sp. 01T445	4755031
GCA_056398305	ASM5639830v1	SAMN42773390	Rhizobium sp. 01T444	7737132
GCA_056398325	ASM5639832v1	SAMN42773389	Paenibacillus sp. 01T443	7658379
GCA_056398345	ASM5639834v1	SAMN42773388	Paenibacillus sp. 01T442	8104554
GCA_056398365	ASM5639836v1	SAMN42773387	Allobosea sp. 01T441	6292709
GCA_056398385	ASM5639838v1	SAMN42773386	Variovorax sp. 01T440	6701147
GCA_056398405	ASM5639840v1	SAMN42773385	Cupriavidus sp. 01T44	6247493
GCA_056398425	ASM5639842v1	SAMN42773383	Microbacterium sp. 01T439	3938639
GCA_056398445	ASM5639844v1	SAMN42773384	Variovorax sp. 01T439_2	6339481
GCA_056398465	ASM5639846v1	SAMN42773382	Dyella sp. 01T438	4708693
GCA_056398485	ASM5639848v1	SAMN42773380	Rhizobium sp. 01T436	7652826
GCA_056398505	ASM5639850v1	SAMN42773381	Rhizobium sp. 01T437	7429404
GCA_056398525	ASM5639852v1	SAMN42773379	Arthrobacter sp. 01T435	4628241
GCA_056398545	ASM5639854v1	SAMN42773378	Terrabacter sp. 01T434	4718869
GCA_056398565	ASM5639856v1	SAMN42773377	Allobosea sp. 01T433_2	6444336
GCA_056398585	ASM5639858v1	SAMN42773376	Aminobacter sp. 01T433	6220124
GCA_056398605	ASM5639860v1	SAMN42773375	Variovorax sp. 01T432	7332678
GCA_056398625	ASM5639862v1	SAMN42773374	Paenibacillus sp. 01T431	7813447
GCA_056398645	ASM5639864v1	SAMN42773373	Cupriavidus sp. 01T430	5947135
GCA_056398665	ASM5639866v1	SAMN42773372	Pseudarthrobacter sp. 01T43	4211326
GCA_056398685	ASM5639868v1	SAMN42773371	Arthrobacter sp. 01T428	4985152
GCA_056398705	ASM5639870v1	SAMN42773370	Aminobacter sp. 01T427	6225854
GCA_056398725	ASM5639872v1	SAMN42773369	Arthrobacter sp. 01T425	4694532
GCA_056398745	ASM5639874v1	SAMN42773368	Paenibacillus sp. 01T424	7791033
GCA_056398765	ASM5639876v1	SAMN42773367	Cupriavidus sp. 01T423	6140180
GCA_056398785	ASM5639878v1	SAMN42773366	Paenibacillus sp. 01T422	7956330
GCA_056398805	ASM5639880v1	SAMN42773365	Hyphomicrobium sp. 01T421	4483441
GCA_056398825	ASM5639882v1	SAMN42773364	Stenotrophomonas sp. 01T420	4703807
GCA_056398845	ASM5639884v1	SAMN42773363	Bacillus sp. 01T419_2	5941159
GCA_056398865	ASM5639886v1	SAMN42773362	Arthrobacter sp. 01T419	4821853
GCA_056398885	ASM5639888v1	SAMN42773361	Cupriavidus sp. 01T418	7795897
GCA_056398905	ASM5639890v1	SAMN42773360	Rhizobium sp. 01T417	6577482
GCA_056398925	ASM5639892v1	SAMN42773359	Pedobacter sp. 01T416_2	6263123
GCA_056398945	ASM5639894v1	SAMN42773358	Dyella sp. 01T416	4738129
GCA_056398965	ASM5639896v1	SAMN42773357	Arthrobacter sp. 01T414	3587663
GCA_056398985	ASM5639898v1	SAMN42773356	Microbacterium sp. 01T413_2	3938838
GCA_056399005	ASM5639900v1	SAMN42773355	Caulobacter sp. 01T412	5291649
GCA_056399025	ASM5639902v1	SAMN42773354	Stenotrophomonas sp. 01T411	4698380
GCA_056399045	ASM5639904v1	SAMN42773353	Cupriavidus sp. 01T41	5542588
GCA_056399065	ASM5639906v1	SAMN42773352	Stenotrophomonas sp. 01T39	4708651
GCA_056399085	ASM5639908v1	SAMN42773351	Stenotrophomonas sp. 01T37	4700692
GCA_056399105	ASM5639910v1	SAMN42773350	Bacillus sp. 01T32	5675936
GCA_056399125	ASM5639912v1	SAMN42773349	Pseudomonas sp. 01T31	6597759
GCA_056399145	ASM5639914v1	SAMN42773348	Rhizobium sp. 01N48	4767835
GCA_056399165	ASM5639916v1	SAMN42773347	Stenotrophomonas sp. 01N47	4641215
GCA_056399185	ASM5639918v1	SAMN42773346	Stenotrophomonas sp. 01N46	4711266
GCA_056399205	ASM5639920v1	SAMN42773345	Bacillus sp. 01N45	5778234
GCA_056399225	ASM5639922v1	SAMN42773344	Dyella sp. 01N448	4795504
GCA_056399245	ASM5639924v1	SAMN42773343	Rhizobium sp. 01N447_2	7805241
GCA_056399265	ASM5639926v1	SAMN42773342	Pedobacter sp. 01N447	6507938
GCA_056399285	ASM5639928v1	SAMN42773341	Mesorhizobium sp. 01N446	7162154
GCA_056399305	ASM5639930v1	SAMN42773340	Arthrobacter sp. 01N444	4563647
GCA_056399325	ASM5639932v1	SAMN42773339	Allobosea sp. 01N443	7488124
GCA_056399345	ASM5639934v1	SAMN42773338	Arthrobacter sp. 01N442	3644786
GCA_056399365	ASM5639936v1	SAMN42773337	Cupriavidus sp. 01N44	6856886
GCA_056399385	ASM5639938v1	SAMN42773336	Cupriavidus sp. 01N43	6004655
GCA_056399405	ASM5639940v1	SAMN42773334	Phyllobacterium sp. 01N428	4694048
GCA_056399425	ASM5639942v1	SAMN42773335	Variovorax sp. 01N429	6495263
GCA_056399445	ASM5639944v1	SAMN42773333	Caulobacter sp. 01N427	5292827
GCA_056399465	ASM5639946v1	SAMN42773332	Variovorax sp. 01N425	6842203
GCA_056399485	ASM5639948v1	SAMN42773331	Rhizobium sp. 01N424	6034873
GCA_056399505	ASM5639950v1	SAMN42773330	Pedobacter sp. 01N423	6125265
GCA_056399525	ASM5639952v1	SAMN42773329	Stenotrophomonas sp. 01N422	4705246
GCA_056399545	ASM5639954v1	SAMN42773328	Pseudomonas sp. 01N42_3	4865748
GCA_056399565	ASM5639956v1	SAMN42773327	Bacillus sp. 01N42_2	3769664
GCA_056399585	ASM5639958v1	SAMN42773326	Cupriavidus sp. 01N419	6093384
GCA_056399605	ASM5639960v1	SAMN42773324	Variovorax sp. 01N418	6701208
GCA_056399625	ASM5639962v1	SAMN42773325	Allobosea sp. 01N418_2	6834774
GCA_056399645	ASM5639964v1	SAMN42773323	Massilia sp. 01N417	5851931
GCA_056399665	ASM5639966v1	SAMN42773320	Massilia sp. 01N410	5938639
GCA_056399685	ASM5639968v1	SAMN42773322	Pedobacter sp. 01N416	6342506
GCA_056399705	ASM5639970v1	SAMN42773319	Dyella sp. 01N38	4837629
GCA_056399725	ASM5639972v1	SAMN42773318	Achromobacter sp. 01N37	6660142
GCA_056399745	ASM5639974v1	SAMN42773317	Dyella sp. 01N36	4780089
GCA_056399765	ASM5639976v1	SAMN42773315	Pseudomonas sp. 01N33	6847105
GCA_056399785	ASM5639978v1	SAMN42773316	Brevundimonas sp. 01N35	3047879
GCA_056399805	ASM5639980v1	SAMN42773314	Pedobacter sp. 01N310	5101838
GCA_056399825	ASM5639982v1	SAMN42773312	Cupriavidus sp. 01L49	6274225
GCA_056399845	ASM5639984v1	SAMN42773313	Caulobacter sp. 01L49_2	5172671
GCA_056399865	ASM5639986v1	SAMN42773311	Stenotrophomonas sp. 01L47	4709917
GCA_056399885	ASM5639988v1	SAMN42773309	Cupriavidus sp. 01L45	8829357
GCA_056399905	ASM5639990v1	SAMN42773310	Cupriavidus sp. 01L46	8261867
GCA_056399925	ASM5639992v1	SAMN42773308	Cupriavidus sp. 01L43	6051219
GCA_056399945	ASM5639994v1	SAMN42773307	Dyella sp. 01L423	4699066
GCA_056399965	ASM5639996v1	SAMN42773306	Caulobacter sp. 01L422	5288518
GCA_056399985	ASM5639998v1	SAMN42773305	Chitinophaga sp. 01L420	9394265
GCA_056400005	ASM5640000v1	SAMN42773304	Arthrobacter sp. 01L42	4650053
GCA_056400025	ASM5640002v1	SAMN42773303	Rhizobium sp. 01L419	7432202
GCA_056400045	ASM5640004v1	SAMN42773302	Paenibacillus sp. 01L418	7752437
GCA_056400065	ASM5640006v1	SAMN42773300	Cupriavidus sp. 01L415	6664069
GCA_056400085	ASM5640008v1	SAMN42773301	Pedobacter sp. 01L416	6519019
GCA_056400105	ASM5640010v1	SAMN42773299	Cupriavidus sp. 01L414	9161954
GCA_056400125	ASM5640012v1	SAMN42773298	Cupriavidus sp. 01L412	8560154
GCA_056400145	ASM5640014v1	SAMN42773297	Pseudomonas sp. 01L411	6499050
GCA_056400165	ASM5640016v1	SAMN42773296	Rhizobium sp. 01L410	5883767
GCA_056400185	ASM5640018v1	SAMN42773294	Stenotrophomonas sp. 01L38	4710869
GCA_056400205	ASM5640020v1	SAMN42773295	Cupriavidus sp. 01L41	8124345
GCA_056400225	ASM5640022v1	SAMN42773293	Stenotrophomonas sp. 01L37	4704144
GCA_056400235	ASM5640023v1	SAMN42773291	Pseudomonas sp. 01L33	6243305
GCA_056400265	ASM5640026v1	SAMN42773292	Pseudomonas sp. 01L34	6507827
