accession	assembly_name	sample_accession	scientific_name	base_count
GCA_052115365	ASM5211536v1	SAMN42732047	Variovorax sp. 2RAF20	6713557
GCA_052115385	ASM5211538v1	SAMN42732045	Dyella sp. 2RAB6	5242111
GCA_052115395	ASM5211539v1	SAMN42732046	Lysobacter sp. 2RAF19	3289022
GCA_052115425	ASM5211542v1	SAMN42732044	Rhizobiaceae sp. 2RAB30	7972061
GCA_052115445	ASM5211544v1	SAMN42732043	Paenibacillus sp. 2RAB27	8162338
GCA_052115465	ASM5211546v1	SAMN42732042	Allobosea sp. 2RAB26	7196559
GCA_052115485	ASM5211548v1	SAMN42732040	Microvirga sp. 2MCAF38	3679619
GCA_052115495	ASM5211549v1	SAMN42732041	Lysobacter sp. 2RAB21	4770025
GCA_052115525	ASM5211552v1	SAMN42732039	Leifsonia sp. 2MCAF36	4063258
GCA_052115545	ASM5211554v1	SAMN42732038	Microvirga sp. 2MCAF35	4572198
GCA_052115565	ASM5211556v1	SAMN42732036	Microbacterium sp. 2MCAF23	4047829
GCA_052115585	ASM5211558v1	SAMN42732037	Streptomyces sp. 2MCAF27	10406007
GCA_052115605	ASM5211560v1	SAMN42732035	Arthrobacter sp. 2MCAF15	4987756
GCA_052115625	ASM5211562v1	SAMN42732034	Stenotrophomonas sp. 2MCAF14_2	4694143
GCA_052115645	ASM5211564v1	SAMN42732033	Arthrobacter sp. 2MCAF14	5136013
GCA_052115665	ASM5211566v1	SAMN42732032	Cupriavidus sp. 2MCAB6	9194175
GCA_052115685	ASM5211568v1	SAMN42732031	Cupriavidus sp. 2KB_3	5986298
GCA_052115705	ASM5211570v1	SAMN42732029	Inquilinus sp. 2KB_23	7631845
GCA_052115715	ASM5211571v1	SAMN42732030	Allobosea sp. 2KB_26	7388908
GCA_052115745	ASM5211574v1	SAMN42732028	Paenibacillus sp. 2KB_22	6998797
GCA_052115765	ASM5211576v1	SAMN42732027	Paenibacillus sp. 2KB_20	7450254
GCA_052115785	ASM5211578v1	SAMN42732026	Cupriavidus sp. 2KB_15	8830991
GCA_052115805	ASM5211580v1	SAMN42732025	Inquilinus sp. 2KB_12	7634800
