accession	assembly_name	collection	sample_accession	scientific_name	base_count
GCA_052114445	ASM5211444v1	AtSC	SAMN42732093	Cupriavidus sp. M-11	8709157
GCA_052114465	ASM5211446v1	AtSC	SAMN42732092	Arthrobacter sp. M-10	4639067
GCA_052114485	ASM5211448v1	AtSC	SAMN42732091	Cupriavidus sp. KB_39	6337514
GCA_052114505	ASM5211450v1	AtSC	SAMN42732090	Labrys sp. KB_33_2	7403828
GCA_052114525	ASM5211452v1	AtSC	SAMN42732089	Pseudomonas sp. KB_15	6619799
GCA_052114545	ASM5211454v1	AtSC	SAMN42732088	Pseudomonas sp. KB_12	6249593
GCA_052114565	ASM5211456v1	AtSC	SAMN42732087	Mycobacterium sp. 2YAF39	5756524
GCA_052114585	ASM5211458v1	AtSC	SAMN42732086	Pedococcus sp. 2YAF34	3979397
GCA_052114605	ASM5211460v1	AtSC	SAMN42732085	Microvirga sp. 2YAF29	4122730
GCA_052114625	ASM5211462v1	AtSC	SAMN42732084	Stenotrophomonas sp. 2YAF26	4517367
GCA_052114645	ASM5211464v1	AtSC	SAMN42732083	Arthrobacter sp. 2YAF22_2	3745484
GCA_052114665	ASM5211466v1	AtSC	SAMN42732082	Stenotrophomonas sp. 2YAF22	4389492
GCA_052114685	ASM5211468v1	AtSC	SAMN42732081	Rhizobium sp. 2YAF20	7256817
GCA_052114705	ASM5211470v1	AtSC	SAMN42732080	Terrabacter sp. 2YAF2	4774998
GCA_052114725	ASM5211472v1	AtSC	SAMN42732079	Dyella sp. 2YAF14	4738015
GCA_052114745	ASM5211474v1	AtSC	SAMN42732078	Brevundimonas sp. 2YAF1	3003069
GCA_052114765	ASM5211476v1	AtSC	SAMN42732077	Terriglobus sp. 2YAB30_2	6011434
GCA_052114785	ASM5211478v1	AtSC	SAMN42732076	Nocardia sp. 2YAB30	8065424
GCA_052114805	ASM5211480v1	AtSC	SAMN42732075	Allobosea sp. 2YAB26	7452461
GCA_052114825	ASM5211482v1	AtSC	SAMN42732073	Paenibacillus sp. 2TAF8	6746127
GCA_052114845	ASM5211484v1	AtSC	SAMN42732074	Ensifer sp. 2YAB10	7625772
GCA_052114865	ASM5211486v1	AtSC	SAMN42732072	Hyphomicrobium sp. 2TAF46	4809770
GCA_052114885	ASM5211488v1	AtSC	SAMN42732071	Paenarthrobacter sp. 2TAF44	5358973
GCA_052114905	ASM5211490v1	AtSC	SAMN42732070	Nocardia sp. 2TAF39	7052144
GCA_052114925	ASM5211492v1	AtSC	SAMN42732069	Bradyrhizobium sp. 2TAF36	9301284
GCA_052114945	ASM5211494v1	AtSC	SAMN42732068	Glaciibacter sp. 2TAF33	3752204
GCA_052114965	ASM5211496v1	AtSC	SAMN42732067	Microvirga sp. 2TAF3	4426939
GCA_052114985	ASM5211498v1	AtSC	SAMN42732066	Rhizobium sp. 2TAF27	7110671
GCA_052115005	ASM5211500v1	AtSC	SAMN42732065	Massilia sp. 2TAF26	6003663
GCA_052115025	ASM5211502v1	AtSC	SAMN42732064	Bradyrhizobium sp. 2TAF24	7119163
GCA_052115045	ASM5211504v1	AtSC	SAMN42732063	Cupriavidus sp. 2TAF22	8812311
GCA_052115065	ASM5211506v1	AtSC	SAMN42732061	Terrabacter sp. 2TAF16	4758906
GCA_052115085	ASM5211508v1	AtSC	SAMN42732062	Leifsonia sp. 2TAF2	3985950
GCA_052115105	ASM5211510v1	AtSC	SAMN42732060	Chryseobacterium sp. 2TAF14	3748260
GCA_052115125	ASM5211512v1	AtSC	SAMN42732059	Ensifer sp. 2TAB8	7444956
GCA_052115145	ASM5211514v1	AtSC	SAMN42732058	Paenibacillus sp. 2TAB26	8147870
GCA_052115165	ASM5211516v1	AtSC	SAMN42732057	Paenibacillus sp. 2TAB23	7523233
GCA_052115185	ASM5211518v1	AtSC	SAMN42732056	Paenibacillus sp. 2TAB19	7001714
GCA_052115205	ASM5211520v1	AtSC	SAMN42732055	Arthrobacter sp. 2RAF6	5430936
GCA_052115225	ASM5211522v1	AtSC	SAMN42732054	Mesorhizobium sp. 2RAF45	6799345
GCA_052115245	ASM5211524v1	AtSC	SAMN42732053	Dyella sp. 2RAF44	4833526
GCA_052115265	ASM5211526v1	AtSC	SAMN42732051	Terrabacter sp. 2RAF25	4787320
GCA_052115285	ASM5211528v1	AtSC	SAMN42732052	Microbacterium sp. 2RAF4	3810801
GCA_052115305	ASM5211530v1	AtSC	SAMN42732050	Streptomyces sp. 2RAF24	8540735
GCA_052115325	ASM5211532v1	AtSC	SAMN42732049	Arthrobacter sp. 2RAF22	3350491
GCA_052115345	ASM5211534v1	AtSC	SAMN42732048	Mesorhizobium sp. 2RAF21	6801295
GCA_052115365	ASM5211536v1	AtSC	SAMN42732047	Variovorax sp. 2RAF20	6713557
GCA_052115385	ASM5211538v1	AtSC	SAMN42732045	Dyella sp. 2RAB6	5242111
GCA_052115395	ASM5211539v1	AtSC	SAMN42732046	Lysobacter sp. 2RAF19	3289022
GCA_052115425	ASM5211542v1	AtSC	SAMN42732044	Rhizobiaceae sp. 2RAB30	7972061
GCA_052115445	ASM5211544v1	AtSC	SAMN42732043	Paenibacillus sp. 2RAB27	8162338
GCA_052115465	ASM5211546v1	AtSC	SAMN42732042	Allobosea sp. 2RAB26	7196559
GCA_052115485	ASM5211548v1	AtSC	SAMN42732040	Microvirga sp. 2MCAF38	3679619
GCA_052115495	ASM5211549v1	AtSC	SAMN42732041	Lysobacter sp. 2RAB21	4770025
GCA_052115525	ASM5211552v1	AtSC	SAMN42732039	Leifsonia sp. 2MCAF36	4063258
GCA_052115545	ASM5211554v1	AtSC	SAMN42732038	Microvirga sp. 2MCAF35	4572198
GCA_052115565	ASM5211556v1	AtSC	SAMN42732036	Microbacterium sp. 2MCAF23	4047829
GCA_052115585	ASM5211558v1	AtSC	SAMN42732037	Streptomyces sp. 2MCAF27	10406007
GCA_052115605	ASM5211560v1	AtSC	SAMN42732035	Arthrobacter sp. 2MCAF15	4987756
GCA_052115625	ASM5211562v1	AtSC	SAMN42732034	Stenotrophomonas sp. 2MCAF14_2	4694143
GCA_052115645	ASM5211564v1	AtSC	SAMN42732033	Arthrobacter sp. 2MCAF14	5136013
GCA_052115665	ASM5211566v1	AtSC	SAMN42732032	Cupriavidus sp. 2MCAB6	9194175
GCA_052115685	ASM5211568v1	AtSC	SAMN42732031	Cupriavidus sp. 2KB_3	5986298
GCA_052115705	ASM5211570v1	AtSC	SAMN42732029	Inquilinus sp. 2KB_23	7631845
GCA_052115715	ASM5211571v1	AtSC	SAMN42732030	Allobosea sp. 2KB_26	7388908
GCA_052115745	ASM5211574v1	AtSC	SAMN42732028	Paenibacillus sp. 2KB_22	6998797
GCA_052115765	ASM5211576v1	AtSC	SAMN42732027	Paenibacillus sp. 2KB_20	7450254
GCA_052115785	ASM5211578v1	AtSC	SAMN42732026	Cupriavidus sp. 2KB_15	8830991
GCA_052115805	ASM5211580v1	AtSC	SAMN42732025	Inquilinus sp. 2KB_12	7634800
GCA_054049135	ASM5404913v1	HvSC	SAMN42779448	Kitasatospora sp. P5_F3	8084501
GCA_054049155	ASM5404915v1	HvSC	SAMN42779447	Kitasatospora sp. P5_F2	6506003
GCA_054049175	ASM5404917v1	HvSC	SAMN42779445	Microbacterium sp. P5_E9	4391171
GCA_054049195	ASM5404919v1	HvSC	SAMN42779446	Piscinibacter sp. P5_F1	6522455
GCA_054049215	ASM5404921v1	HvSC	SAMN42779443	Roseateles sp. P5_E7	6158322
GCA_054049235	ASM5404923v1	HvSC	SAMN42779442	Polaromonas sp. P5_E6	4901403
GCA_054049255	ASM5404925v1	HvSC	SAMN42779441	Roseateles sp. P5_E4	6450287
GCA_054049275	ASM5404927v1	HvSC	SAMN42779440	Nocardioides sp. P5_E3	4734472
GCA_054049295	ASM5404929v1	HvSC	SAMN42779439	Burkholderiaceae bacterium P5_E2	6358751
GCA_054049315	ASM5404931v1	HvSC	SAMN42779438	Cellulomonas sp. P5_E12	4184370
GCA_054049335	ASM5404933v1	HvSC	SAMN42779436	Roseateles sp. P5_E1	6829493
GCA_054049355	ASM5404935v1	HvSC	SAMN42779437	Roseateles sp. P5_E11	6746469
GCA_054049375	ASM5404937v1	HvSC	SAMN42779435	Burkholderiaceae bacterium P5_D8	6541530
GCA_054049395	ASM5404939v1	HvSC	SAMN42779434	Burkholderiaceae bacterium P5_D7	7150213
GCA_054049415	ASM5404941v1	HvSC	SAMN42779433	Roseateles sp. P5_D6	6646851
GCA_054049435	ASM5404943v1	HvSC	SAMN42779432	Polaromonas sp. P5_D5	4862672
GCA_054049455	ASM5404945v1	HvSC	SAMN42779431	Paenibacillus sp. P5_D4	6525555
GCA_054049475	ASM5404947v1	HvSC	SAMN42779430	Microvirga sp. P5_D2	6384138
GCA_054049495	ASM5404949v1	HvSC	SAMN42779429	Phyllobacterium sp. P5_D12	5450418
GCA_054049515	ASM5404951v1	HvSC	SAMN42779428	Streptomyces sp. P5_D11	9448274
GCA_054049535	ASM5404953v1	HvSC	SAMN42779427	Aeromicrobium sp. P5_D10	4543371
GCA_054049555	ASM5404955v1	HvSC	SAMN42779426	Nocardioides sp. P5_C9_2	4013893
GCA_054049575	ASM5404957v1	HvSC	SAMN42779425	Burkholderiaceae bacterium P5_C9	6574840
GCA_054049595	ASM5404959v1	HvSC	SAMN42779423	Tardiphaga sp. P5_C7	6293090
GCA_054049615	ASM5404961v1	HvSC	SAMN42779424	Burkholderiaceae bacterium P5_C8	6158994
GCA_054049635	ASM5404963v1	HvSC	SAMN42779422	Cellulomonas sp. P5_C6	4305270
GCA_054049655	ASM5404965v1	HvSC	SAMN42779421	Cellulomonas sp. P5_C5	4694094
GCA_054049675	ASM5404967v1	HvSC	SAMN42779419	Pseudomonas sp. P5_C3	6367912
GCA_054049695	ASM5404969v1	HvSC	SAMN42779420	Lysobacter sp. P5_C4	3230967
GCA_054049715	ASM5404971v1	HvSC	SAMN42779418	Rhizobacter sp. P5_C2	7079553
GCA_054049735	ASM5404973v1	HvSC	SAMN42779417	Bradyrhizobium sp. P5_C12	8045492
GCA_054049755	ASM5404975v1	HvSC	SAMN42779416	Bradyrhizobium sp. P5_C11_2	8274162
GCA_054049775	ASM5404977v1	HvSC	SAMN42779415	Methylobacterium sp. P5_C11	5720869
GCA_054049795	ASM5404979v1	HvSC	SAMN42779414	Tardiphaga sp. P5_C10	6078276
GCA_054049815	ASM5404981v1	HvSC	SAMN42779413	Mesorhizobium sp. P5_C1	6844027
GCA_054049835	ASM5404983v1	HvSC	SAMN42779412	Lysobacter sp. P5_B9	3491155
GCA_054049855	ASM5404985v1	HvSC	SAMN42779411	Stenotrophomonas sp. P5_B8	4507621
GCA_054049875	ASM5404987v1	HvSC	SAMN42779410	Usitatibacteraceae bacterium P5_B7_2	4750860
GCA_054049895	ASM5404989v1	HvSC	SAMN42779409	Pedococcus sp. P5_B7	4274547
GCA_054177665	ASM5417766v1	HvSC	SAMN42779444	Roseateles sp. P5_E8	6195849
GCA_054177685	ASM5417768v1	HvSC	SAMN42779392	Pseudomonas sp. P5_A2_2	5900258
GCA_054177705	ASM5417770v1	HvSC	SAMN42779354	Paenibacillus sp. P4_F12	7114739
GCA_054177725	ASM5417772v1	HvSC	SAMN42779326	Rhodococcus sp. P4_D10	10076763
GCA_054177745	ASM5417774v1	HvSC	SAMN42779242	Rhizobacter sp. P2_G12	6903822
GCA_056393805	ASM5639380v1	AtSC	SAMN42773612	Caulobacter sp. 10T49	5291987
GCA_056393825	ASM5639382v1	AtSC	SAMN42773610	Caulobacter sp. 10T46	5292199
GCA_056393845	ASM5639384v1	AtSC	SAMN42773611	Agrobacterium sp. 10T48	5757674
GCA_056393865	ASM5639386v1	AtSC	SAMN42773609	Cupriavidus sp. 10T45	5954436
GCA_056393885	ASM5639388v1	AtSC	SAMN42773608	Arthrobacter sp. 10T44	3614177
GCA_056393905	ASM5639390v1	AtSC	SAMN42773607	Cupriavidus sp. 10T430	5979162
GCA_056393925	ASM5639392v1	AtSC	SAMN42773606	Agrobacterium sp. 10T429	5623895
GCA_056393945	ASM5639394v1	AtSC	SAMN42773604	Microbacterium sp. 10T427	4219587
GCA_056393965	ASM5639396v1	AtSC	SAMN42773603	Pedobacter sp. 10T426	6528687
GCA_056393985	ASM5639398v1	AtSC	SAMN42773602	Arthrobacter sp. 10T425	4493550
GCA_056394005	ASM5639400v1	AtSC	SAMN42773601	Cupriavidus sp. 10T424	6018422
GCA_056394025	ASM5639402v1	AtSC	SAMN42773600	Rhizobium sp. 10T423_2	5649023
GCA_056394045	ASM5639404v1	AtSC	SAMN42773599	Achromobacter sp. 10T423	6646189
GCA_056394065	ASM5639406v1	AtSC	SAMN42773598	Achromobacter sp. 10T422	6674302
GCA_056394085	ASM5639408v1	AtSC	SAMN42773597	Pseudomonas sp. 10T42	4779204
GCA_056394105	ASM5639410v1	AtSC	SAMN42773596	Arthrobacter sp. 10T419	3840686
GCA_056394125	ASM5639412v1	AtSC	SAMN42773595	Chitinophaga sp. 10T418	9218880
GCA_056394145	ASM5639414v1	AtSC	SAMN42773594	Cupriavidus sp. 10T417	5765413
GCA_056394165	ASM5639416v1	AtSC	SAMN42773593	Arthrobacter sp. 10T416	3446184
GCA_056394175	ASM5639417v1	AtSC	SAMN42773592	Pseudarthrobacter sp. 10T415	4653369
GCA_056394205	ASM5639420v1	AtSC	SAMN42773591	Arthrobacter sp. 10T413_2	4993467
GCA_056394225	ASM5639422v1	AtSC	SAMN42773590	Cupriavidus sp. 10T413	6692885
GCA_056394245	ASM5639424v1	AtSC	SAMN42773589	Pseudomonas sp. 10T411	6584450
GCA_056394265	ASM5639426v1	AtSC	SAMN42773588	Cupriavidus sp. 10T410	8790546
GCA_056394285	ASM5639428v1	AtSC	SAMN42773586	Pseudomonas sp. 10T36	6283273
GCA_056394305	ASM5639430v1	AtSC	SAMN42773587	Pseudomonas sp. 10T41	6579533
GCA_056394325	ASM5639432v1	AtSC	SAMN42773585	Stenotrophomonas sp. 10T35_2	4737595
GCA_056394345	ASM5639434v1	AtSC	SAMN42773584	Pseudomonas sp. 10T33	6577999
GCA_056394365	ASM5639436v1	AtSC	SAMN42773583	Lysinibacillus sp. 10T31	5394525
GCA_056394385	ASM5639438v1	AtSC	SAMN42773582	Arthrobacter sp. 10N44_2	4532437
GCA_056394405	ASM5639440v1	AtSC	SAMN42773580	Leifsonia sp. 10N434	4053221
GCA_056394425	ASM5639442v1	AtSC	SAMN42773581	Cupriavidus sp. 10N44_1	6739381
GCA_056394445	ASM5639444v1	AtSC	SAMN42773579	Cupriavidus sp. 10N433	6702595
GCA_056394465	ASM5639446v1	AtSC	SAMN42773578	Variovorax sp. 10N432	7564950
GCA_056394485	ASM5639448v1	AtSC	SAMN42773577	Pseudomonas sp. 10N431	6513703
GCA_056394505	ASM5639450v1	AtSC	SAMN42773576	Pedobacter sp. 10N430	6515248
GCA_056394525	ASM5639452v1	AtSC	SAMN42773575	Arthrobacter sp. 10N43	5018548
GCA_056394545	ASM5639454v1	AtSC	SAMN42773573	Allobosea sp. 10N428	5733370
GCA_056394565	ASM5639456v1	AtSC	SAMN42773574	Caulobacter sp. 10N429	5291564
GCA_056394585	ASM5639458v1	AtSC	SAMN42773571	Achromobacter sp. 10N425_2	5751480
GCA_056394605	ASM5639460v1	AtSC	SAMN42773572	Rhizobium sp. 10N427	6250640
GCA_056394625	ASM5639462v1	AtSC	SAMN42773569	Arthrobacter sp. 10N423	4930816
GCA_056394645	ASM5639464v1	AtSC	SAMN42773570	Achromobacter sp. 10N424	6673156
GCA_056394665	ASM5639466v1	AtSC	SAMN42773568	Stenotrophomonas sp. 10N422	4250562
GCA_056394685	ASM5639468v1	AtSC	SAMN42773567	Stenotrophomonas sp. 10N421	4710762
GCA_056394705	ASM5639470v1	AtSC	SAMN42773566	Variovorax sp. 10N420	6346791
GCA_056394725	ASM5639472v1	AtSC	SAMN42773565	Arthrobacter sp. 10N418	4101728
GCA_056394745	ASM5639474v1	AtSC	SAMN42773564	Paenarthrobacter sp. 10N417	5720432
GCA_056394765	ASM5639476v1	AtSC	SAMN42773563	Mycoplana sp. 10N416	5426679
GCA_056394785	ASM5639478v1	AtSC	SAMN42773562	Rhizobium sp. 10N414	6466816
GCA_056394945	ASM5639494v1	AtSC	SAMN42773560	Arthrobacter sp. 10N410	3589588
GCA_056394965	ASM5639496v1	AtSC	SAMN42773559	Cupriavidus sp. 10N41_2	5970031
GCA_056394985	ASM5639498v1	AtSC	SAMN42773561	Variovorax sp. 10N412	7005360
GCA_056395005	ASM5639500v1	AtSC	SAMN42773557	Stenotrophomonas sp. 10N36	4608650
GCA_056395025	ASM5639502v1	AtSC	SAMN42773558	Cupriavidus sp. 10N41	8975271
GCA_056395045	ASM5639504v1	AtSC	SAMN42773556	Cupriavidus sp. 10N35	8789897
GCA_056395065	ASM5639506v1	AtSC	SAMN42773555	Pseudomonas sp. 10N34	6292005
GCA_056395085	ASM5639508v1	AtSC	SAMN42773554	Cupriavidus sp. 10N33	9036055
GCA_056395105	ASM5639510v1	AtSC	SAMN42773552	Stenotrophomonas sp. 10L48	4705373
GCA_056395125	ASM5639512v1	AtSC	SAMN42773553	Microbacterium sp. 10L49	3988127
GCA_056395145	ASM5639514v1	AtSC	SAMN42773551	Cupriavidus sp. 10L47	6034913
GCA_056395165	ASM5639516v1	AtSC	SAMN42773550	Pedobacter sp. 10L46_2	5996256
GCA_056395185	ASM5639518v1	AtSC	SAMN42773549	Stenotrophomonas sp. 10L46	4705523
GCA_056395205	ASM5639520v1	AtSC	SAMN42773548	Stenotrophomonas sp. 10L45_2	4689424
GCA_056395225	ASM5639522v1	AtSC	SAMN42773547	Cupriavidus sp. 10L45	5977599
GCA_056395245	ASM5639524v1	AtSC	SAMN42773546	Arthrobacter sp. 10L430	4669080
GCA_056395265	ASM5639526v1	AtSC	SAMN42773545	Cupriavidus sp. 10L43_2	5996664
GCA_056395285	ASM5639528v1	AtSC	SAMN42773543	Cupriavidus sp. 10L425	5926185
GCA_056395305	ASM5639530v1	AtSC	SAMN42773544	Variovorax sp. 10L426	6205077
GCA_056395325	ASM5639532v1	AtSC	SAMN42773542	Arthrobacter sp. 10L424	4112023
GCA_056395345	ASM5639534v1	AtSC	SAMN42773541	Allobosea sp. 10L422	5781550
GCA_056395365	ASM5639536v1	AtSC	SAMN42773540	Variovorax sp. 10L421	6280994
GCA_056395385	ASM5639538v1	AtSC	SAMN42773539	Paenarthrobacter sp. 10L420	5495812
GCA_056395405	ASM5639540v1	AtSC	SAMN42773538	Cupriavidus sp. 10L42	5989990
GCA_056395425	ASM5639542v1	AtSC	SAMN42773537	Caulobacter sp. 10L419	5290171
GCA_056395445	ASM5639544v1	AtSC	SAMN42773536	Leifsonia sp. 10L418	4183124
GCA_056395465	ASM5639546v1	AtSC	SAMN42773535	Variovorax sp. 10L417_2	6672902
GCA_056395485	ASM5639548v1	AtSC	SAMN42773534	Allobosea sp. 10L417	5873907
GCA_056395505	ASM5639550v1	AtSC	SAMN42773533	Cupriavidus sp. 10L415	6679861
GCA_056395525	ASM5639552v1	AtSC	SAMN42773532	Caulobacter sp. 10L414	5294287
GCA_056395545	ASM5639554v1	AtSC	SAMN42773531	Cupriavidus sp. 10L413	5965007
GCA_056395565	ASM5639556v1	AtSC	SAMN42773530	Paenarthrobacter sp. 10L412	5252310
GCA_056395585	ASM5639558v1	AtSC	SAMN42773529	Cupriavidus sp. 10L411	7543395
GCA_056395605	ASM5639560v1	AtSC	SAMN42773528	Stenotrophomonas sp. 10L410	4708581
GCA_056395625	ASM5639562v1	AtSC	SAMN42773527	Pseudomonas sp. 10L39	6395918
GCA_056395645	ASM5639564v1	AtSC	SAMN42773526	Bacillus sp. 10L38	5799769
GCA_056395665	ASM5639566v1	AtSC	SAMN42773525	Pseudomonas sp. 10L37	5600175
GCA_056395685	ASM5639568v1	AtSC	SAMN42773523	Priestia sp. 10L35	5524878
GCA_056395705	ASM5639570v1	AtSC	SAMN42773524	Pseudomonas sp. 10L36	6264337
GCA_056395725	ASM5639572v1	AtSC	SAMN42773522	Pseudomonas sp. 10L32	6279305
GCA_056395745	ASM5639574v1	AtSC	SAMN42773521	Paenibacillus sp. 10L310	7143219
GCA_056395765	ASM5639576v1	AtSC	SAMN42773520	Pseudomonas sp. 10L31	6282246
GCA_056395785	ASM5639578v1	AtSC	SAMN42773519	Caulobacter sp. 05T49	5294962
GCA_056395805	ASM5639580v1	AtSC	SAMN42773518	Microbacterium sp. 05T48	4203004
GCA_056395825	ASM5639582v1	AtSC	SAMN42773517	Arthrobacter sp. 05T47	5083011
GCA_056395845	ASM5639584v1	AtSC	SAMN42773516	Stenotrophomonas sp. 05T46	4706760
GCA_056395865	ASM5639586v1	AtSC	SAMN42773514	Microbacterium sp. 05T445	3958185
GCA_056395875	ASM5639587v1	AtSC	SAMN42773515	Arthrobacter sp. 05T45	4788372
GCA_056395905	ASM5639590v1	AtSC	SAMN42773513	Arthrobacter sp. 05T444	4764419
GCA_056395925	ASM5639592v1	AtSC	SAMN42773512	Stenotrophomonas sp. 05T443	4709827
GCA_056395945	ASM5639594v1	AtSC	SAMN42773511	Arthrobacter sp. 05T442	4146975
GCA_056395965	ASM5639596v1	AtSC	SAMN42773510	Dyella sp. 05T440	4670827
GCA_056395985	ASM5639598v1	AtSC	SAMN42773509	Pedobacter sp. 05T44	6123595
GCA_056396005	ASM5639600v1	AtSC	SAMN42773508	Allobosea sp. 05T439	7484990
GCA_056396025	ASM5639602v1	AtSC	SAMN42773507	Allobosea sp. 05T438	6212677
GCA_056396045	ASM5639604v1	AtSC	SAMN42773506	Cupriavidus sp. 05T437	5986693
GCA_056396065	ASM5639606v1	AtSC	SAMN42773505	Allobosea sp. 05T433	7400941
GCA_056396085	ASM5639608v1	AtSC	SAMN42773504	Caulobacter sp. 05T432	5289813
GCA_056396105	ASM5639610v1	AtSC	SAMN42773502	Cupriavidus sp. 05T430	6135780
GCA_056396125	ASM5639612v1	AtSC	SAMN42773501	Cupriavidus sp. 05T429	5900173
GCA_056396145	ASM5639614v1	AtSC	SAMN42773500	Caulobacter sp. 05T428	5293358
GCA_056396165	ASM5639616v1	AtSC	SAMN42773499	Cupriavidus sp. 05T427	5926910
GCA_056396175	ASM5639617v1	AtSC	SAMN42773498	Pseudomonas sp. 05T426	6397869
GCA_056396205	ASM5639620v1	AtSC	SAMN42773497	Paenibacillus sp. 05T425	7162161
